site,square,h,d,r,d2,h2,r2,zmean,elevation,zrel,light,lpa,light_sd
1a,1,0.5324442386627197,2.218119460483263,1.2286883798032044,2.269321656720595,0.6892604827880859,1.1969590305281768,-1.3536218920439482,0.9168472966462372,-0.08580191434919837,0.8190101127588069,0.480530559928454,0.09561603493913215
1a,2,0.33041197061538696,2.3814597005184046,1.1544909952285274,2.4073353202201138,0.4247868061065674,1.1292396615970688,-1.1118279203549029,1.1586412683352827,0.00723492713756845,0.8289034986335342,0.48712250169282084,0.09669737380496894
1a,3,0.3787989616394043,2.3555360001710186,1.151046056938864,2.4109668601464658,0.46982479095458984,1.167937688150442,-1.1146581425353883,1.155811046154797,-0.00343249965570868,0.8245652158470858,0.4666249643349179,0.10174503354654094
1a,4,0.2999693751335144,2.49925405951405,1.2757283185224348,2.49361411548964,0.388455867767334,1.2330685500787646,-1.105830503383279,1.1646386853069066,-0.01884788966575579,0.7909928715795507,0.38173490494989964,0.11903195773562465
1a,5,0.4307249784469605,2.2833156015470295,1.1316528635761354,2.3829234297445754,0.4519078731536865,1.1334810826434394,-1.3068061597645282,0.9636630289256574,-0.02583778376579282,0.8411744418598714,0.5273575160143871,0.08570664648423351
1a,6,0.3492359519004822,2.3588288431199502,1.0895846443284165,2.3026827158282464,0.635222852230072,1.1288763982404797,-1.1020235186174512,1.1684456700727344,0.02647556289099162,0.8389490246891773,0.49744645773388935,0.09928825044719464
1a,7,0.6113622784614563,2.2058962590704834,1.245244231653546,2.3087890376520672,0.6969963908195496,1.1588556344256271,-1.08908315384835,1.1813860348418357,-0.02620307075195027,0.8087418803864381,0.39648823256719046,0.1289328707963593
1a,8,0.8910647034645081,2.1068764828282776,1.288040851155865,2.2464483618725666,0.9204856157302856,1.16431849401692,-1.1842687404379248,1.0862004482522607,-0.04196335409678076,0.8099314534278435,0.4152871508540003,0.12058322066810759
1a,9,0.43439221382141113,2.2562325625767503,1.1423773666617285,2.34441956385539,0.5361776351928711,1.1509360767044052,-1.217853570804,1.0526156178861856,-0.02605131963714946,0.8433745291706373,0.5304899021520662,0.09313940769483504
1a,10,0.27409040927886963,2.454999030582001,1.0942116461604663,2.4033839394380716,0.41632604598999023,1.121444091624049,-1.111241032655537,1.1592281560346485,-0.01538715078048413,0.8287628106352579,0.4799926341616052,0.10823850782138703
1a,11,0.32285088300704956,2.3977506543300313,1.1326174110835292,2.423735828371847,0.4380165934562683,1.1371670054316232,-1.0709755779385566,1.199493610751629,-0.00151041357330972,0.8253414381770294,0.4714788042301222,0.10252185797999044
1a,12,0.9782588481903076,2.11555694071511,1.4865975847350137,2.1718156803835136,1.2645814418792725,1.4351694284061445,-1.291841409084201,0.9786277796059846,-0.01863921267837298,0.7821214993993859,0.3408670946110549,0.1407287449823195
1a,13,0.33017659187316895,2.33739266810081,1.0851441450654358,2.260239298117517,0.76755291223526,1.1312065513308591,-1.1044451764896512,1.1660240122005343,8.77622494846575e-4,0.8420250582936888,0.5270870772512988,0.09055088677164132
1a,14,0.3936631083488464,2.3172296314364025,1.1321007790857331,2.3643878917276924,0.4853859543800354,1.1138025554920736,-1.1204805100381374,1.149988678652048,-0.01858263871408994,0.8349004882245445,0.5096193261390645,0.08956202006392393
